,Average 57e2b,Standard Deviation 57e2b,Average 5995e,Standard Deviation 5995e,Average 61102,Standard Deviation 61102,Average gpt4_,Standard Deviation gpt4_
SEMANTICS - gold reference,4.91,0.37669616403674727,4.74,0.5936328831862332,4.77,0.6611353870426239,4.86,0.5102940328869231
GRAMMATICALITY - gold reference,0.64,0.7683749084919419,0.38,0.6128621378417825,0.42,0.7236021006050218,0.12,0.3815756805667783
OVERCORRECTION - gold reference,0.05,0.29580398915498074,0.45,0.7533259586659683,0.4,0.7874007874011811,0.0,0.0
SEMANTICS - opt-iml-max-30b,5.0,0.0,4.94,0.3693237062523878,4.97,0.22158519806160337,4.37,0.7301369734508725
GRAMMATICALITY - opt-iml-max-30b,1.0,0.7615773105863908,0.58,0.6660330322138684,0.83,0.8491760712596652,0.62,0.5793099343184095
OVERCORRECTION - opt-iml-max-30b,0.0,0.0,0.14,0.5480875842417888,0.01,0.09949874371066199,0.12,0.354400902933387
SEMANTICS - text-davinci-003,4.95,0.2598076211353316,4.75,0.653834841531101,4.88,0.40693979898751614,4.88,0.35440090293338705
GRAMMATICALITY - text-davinci-003,0.54,0.7130217387990355,0.18,0.4093897898091744,0.26,0.5589275444992847,0.04,0.2416609194718914
OVERCORRECTION - text-davinci-003,0.04,0.27999999999999997,0.56,0.8639444426582069,0.46,0.8416650165000326,0.18,0.4093897898091744
SEMANTICS - gpt-3.5-turbo,4.89,0.5812916651733447,4.68,0.8588364221433555,4.79,0.738850458482635,4.79,0.7251896303726358
GRAMMATICALITY - gpt-3.5-turbo,0.47,0.6701492371106604,0.15,0.3840572873934304,0.24,0.5499090833947008,0.12,0.40693979898751603
OVERCORRECTION - gpt-3.5-turbo,0.06,0.34117444218463966,0.61,1.0089103032480142,0.4,0.8246211251235321,0.19,0.523354564325181
