,Average 57e2b,Standard Deviation 57e2b,Average 5995e,Standard Deviation 5995e,Average 61102,Standard Deviation 61102,Average gpt4_,Standard Deviation gpt4_
SEMANTICS - gold reference,2.78,1.3082813153141033,3.39,1.310686842842332,1.91,1.4289506639488991,4.03,1.0144456614328832
FLUENCY - gold reference,3.7,0.6855654600401044,3.67,1.3270644294833616,2.1,0.7,5.0,0.0
SIMPLICITY - gold reference,3.1,1.0535653752852738,3.81,1.1721348045340179,3.35,1.2757350822173075,3.91,0.6015812497078012
SEMANTICS - google/flan-t5-xxl,4.97,0.1705872210923198,4.86,0.5295280917949492,4.83,0.6641535966928133,4.55,0.9526279441628825
FLUENCY - google/flan-t5-xxl,4.64,0.5748043145279965,4.64,0.7939773296511683,3.8,1.2489995996796797,4.99,0.09949874371066199
SIMPLICITY - google/flan-t5-xxl,3.39,0.6307931515164064,3.89,0.7860661549767932,3.09,0.3491418050019218,3.19,1.2057777573002415
SEMANTICS - davinci-instruct-beta,4.78,0.7152621896899066,4.83,0.6009159675029446,4.67,0.938669270829721,4.48,0.9641576634555159
FLUENCY - davinci-instruct-beta,4.76,0.7364781055808789,4.8,0.6782329983125269,4.33,0.8724104538575864,4.95,0.40926763859362253
SIMPLICITY - davinci-instruct-beta,3.41,0.7224264668462805,4.04,0.7863841300534999,3.14,0.5834380858325926,3.27,1.1563304026099117
SEMANTICS - gpt-3.5-turbo,4.42,0.8268010643437754,4.58,0.8506468127254695,3.98,1.2959938271457931,4.66,0.5695612346359257
FLUENCY - gpt-3.5-turbo,4.77,0.645832795698701,4.93,0.32419130154894654,4.47,0.9214662229295223,5.0,0.0
SIMPLICITY - gpt-3.5-turbo,4.52,0.6997142273814362,4.69,0.702780193232564,4.15,1.061838029079765,4.25,0.6224949798994366
