,Average 57e2b,Standard Deviation 57e2b,Average 5995e,Standard Deviation 5995e,Average 61102,Standard Deviation 61102,Average gpt4_,Standard Deviation gpt4_
RELEVANCE - gold reference,3.06,0.9676776322722356,3.57,1.106842355532169,3.89,1.1823282116231517,4.46,0.6069596362197407
FLUENCY - gold reference,2.24,1.1412274094149686,3.4,0.9797958971132712,1.87,0.6878226515607057,4.98,0.13999999999999999
COHERENCE - gold reference,2.87,1.4258681565979374,3.64,1.315446692192428,3.51,1.5132415537514161,4.5,0.5196152422706632
CONSISTENCY - gold reference,4.48,0.8657944328765342,3.73,1.1476497723608887,4.05,1.3738631664034087,4.74,0.46086874487211643
RELEVANCE - bigscience/T0pp,3.44,0.9830564581955605,3.89,0.870574522944475,4.08,1.0166612021711068,3.94,0.5444263035526479
FLUENCY - bigscience/T0pp,3.44,1.2026637102698328,4.66,0.7774316690230725,4.3,1.2845232578665131,4.93,0.25514701644346144
COHERENCE - bigscience/T0pp,3.9,1.1789826122551597,4.6,0.8831760866327845,4.2,1.1832159566199232,3.72,0.6013318551349164
CONSISTENCY - bigscience/T0pp,4.9,0.4123105625617661,4.38,0.845931439302264,4.83,0.6936137253543936,4.21,0.5708765190476834
RELEVANCE - text-davinci-003,4.61,0.6766830868286867,4.47,0.6849087530467107,4.67,0.6009159675029446,4.68,0.466476151587624
FLUENCY - text-davinci-003,4.62,0.7039886362719217,4.92,0.4399999999999999,4.84,0.48414873747640813,5.0,0.0
COHERENCE - text-davinci-003,4.8,0.5291502622129182,4.79,0.431161222746202,4.78,0.6720119046564579,4.52,0.5192301994298867
CONSISTENCY - text-davinci-003,4.96,0.19595917942265423,4.68,0.6144916598294887,4.83,0.648922183316305,4.76,0.4270831300812525
RELEVANCE - gpt-3.5-turbo,4.91,0.3766961640367474,4.79,0.431161222746202,4.59,0.6339558344238186,4.84,0.36660605559646725
FLUENCY - gpt-3.5-turbo,4.85,0.5172040216394302,4.96,0.24166091947189142,4.82,0.5546169849544819,5.0,0.0
COHERENCE - gpt-3.5-turbo,4.9,0.4123105625617661,4.87,0.36482872693909396,4.87,0.4828043081829324,4.81,0.3923009049186606
CONSISTENCY - gpt-3.5-turbo,4.98,0.19899748742132398,4.76,0.44988887516807974,4.89,0.4448595283907045,4.88,0.3249615361854385
